nom,prix,website,source,date_scraped,category,promotion,url,description,normalized_nom,normalized_description
"Bosch - 500 Series 24"" Top Control Smart Built-In  Tub Dishwasher with 3rd Rack and AutoAir, 44 dBA",1149.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"bosch - 500 series 24"" top control smart built-in  tub dishwasher with 3rd rack and autoair, 44 dba","bosch - 500 series 24"" top control smart built-in  tub dishwasher with 3rd rack and autoair, 44 dba"
"GE - 24"" Top Control Built-In Plastic Tub Dishwasher with 3rd Rack, Bottle Jets and 50 dBA",479.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"ge - 24"" top control built-in plastic tub dishwasher with 3rd rack, bottle jets and 50 dba","ge - 24"" top control built-in plastic tub dishwasher with 3rd rack, bottle jets and 50 dba"
"Samsung - 24” Top Control Built-In Hybrid  Tub Dishwasher with Height-Adjustable Rack, 53 dBA",429.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"samsung - 24” top control built-in hybrid  tub dishwasher with height-adjustable rack, 53 dba","samsung - 24” top control built-in hybrid  tub dishwasher with height-adjustable rack, 53 dba"
"GE - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, Sanitize Cycle and 47 dBA",809.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"ge - 24"" top control built-in  tub dishwasher with 3rd rack, sanitize cycle and 47 dba","ge - 24"" top control built-in  tub dishwasher with 3rd rack, sanitize cycle and 47 dba"
"KitchenAid - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, 360 Max Jets, 44 dBA",1484.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"kitchenaid - 24"" top control built-in  tub dishwasher with 3rd rack, 360 max jets, 44 dba","kitchenaid - 24"" top control built-in  tub dishwasher with 3rd rack, 360 max jets, 44 dba"
"Whirlpool - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, Large Capacity, 47 dBA",649.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"whirlpool - 24"" top control built-in  tub dishwasher with 3rd rack, large capacity, 47 dba","whirlpool - 24"" top control built-in  tub dishwasher with 3rd rack, large capacity, 47 dba"
"Frigidaire 24"" Built-In  Tub Dishwasher with 3rd Rack, EvenDry System, 49 dBA",549.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"frigidaire 24"" built-in  tub dishwasher with 3rd rack, evendry system, 49 dba","frigidaire 24"" built-in  tub dishwasher with 3rd rack, evendry system, 49 dba"
"Samsung - 24"" Top Control Smart Built-In  Tub Dishwasher with Storm Wash, 48 dBA",649.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"samsung - 24"" top control smart built-in  tub dishwasher with storm wash, 48 dba","samsung - 24"" top control smart built-in  tub dishwasher with storm wash, 48 dba"
"Maytag - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, Dual Power Filtration, 47 dBA",899.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"maytag - 24"" top control built-in  tub dishwasher with 3rd rack, dual power filtration, 47 dba","maytag - 24"" top control built-in  tub dishwasher with 3rd rack, dual power filtration, 47 dba"
"GE Profile - 24"" Top Control Smart Built-In  Tub Dishwasher with 3rd Rack, Microban Protection and 44 dBA",1034.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"ge profile - 24"" top control smart built-in  tub dishwasher with 3rd rack, microban protection and 44 dba","ge profile - 24"" top control smart built-in  tub dishwasher with 3rd rack, microban protection and 44 dba"
"Whirlpool - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, Large Capacity, 47 dBA",929.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"whirlpool - 24"" top control built-in  tub dishwasher with 3rd rack, large capacity, 47 dba","whirlpool - 24"" top control built-in  tub dishwasher with 3rd rack, large capacity, 47 dba"
"GE Profile - 24"" Top Control Smart Built-In  Tub Dishwasher with 3rd Rack, Dedicated Jet Targeted Wash and 42 dBA",1124.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"ge profile - 24"" top control smart built-in  tub dishwasher with 3rd rack, dedicated jet targeted wash and 42 dba","ge profile - 24"" top control smart built-in  tub dishwasher with 3rd rack, dedicated jet targeted wash and 42 dba"
"LG - 24"" Top Control Smart Built-In  Tub Dishwasher with 3rd Rack, QuadWash Pro and 42dba",899.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"lg - 24"" top control smart built-in  tub dishwasher with 3rd rack, quadwash pro and 42dba","lg - 24"" top control smart built-in  tub dishwasher with 3rd rack, quadwash pro and 42dba"
